app_name,size
aradWrhotshi/multi-query-sentiment,99294.0
Alesmikes/speech_and_text_emotion_recognition,13402.44
ShadowDominator/emotion-classification,2728.52
ShadowDominator/sentiment-analysis,5538.12
mohanchinnappan/senti,5528.639999999999
After-the-Dark/sentiment-analysis,5538.12
devanshsrivastav/GoEmotions,11548.84
SudhanshuBlaze/EmoDash,12373.28
qnbhd/dp-dialogs-21,3643.29
devanshsrivastav/goemotions2,11548.84
miscjose/Data-Annotation-Tool,9136.08
YaraKyrychenko/BERTinsights,23698.399999999998
vijaypq/pythonquants.ai,3584.48
vijaypq/speechrecognition_summary_sentiment_analysis,5404.48
dawng88/sachacks2023,2160.48
liuhaozhe6788/CelebChat,66736.0
luiscgp/Fact_Checking_Blue_Amazon,13310.0
juancopi81/multilingual-stable-diffusion,14331.52
team-language-detector/LanguageDetector,3682.3199999999997
poiiii/clefourrier-graphormer-base-pcqm4mv1,2190.52
Demosthene-OR/avr23-cds-translation,11223.28
Msp/langauge_identifier,11556.880000000001
Msp/lang_id_flask,11424.36
Felixogunwale/Convenant-language-detection,1865.52
dperales/ITACA_Insurance_Core_v4,256382.87999999995
JKJanosko/Toxicity-Analysis,150526.52
danielperales/ITACA_Insurace_NLP_v2,256432.87999999995
Chris4K/YAT,6578.08
astrojuanlu/kedro-test-gradio,2474.48
nickmuchi/semantic-search-with-retrieve-and-rerank,99742.28
nickmuchi/Earnings-Call-Analysis-Whisperer,65356.84
ugaray96/neural-search,16179.12
smangrul/PEFT-Docs-QA-Chatbot,17205.420000000002
nickmuchi/Netflix-Semantic-Search-Whisperer,8377.92
KonradSzafer/HF-QA-Demo,6342.24
Jai12345/App,8896.960000000001
MWilinski/HF-QA-Demo,9396.960000000001
lunarflu/HF-QA-Demo-3,6342.24
ComponentSoft/KubeWizard,21660.68
IPN/first_space,1590.28
Pavankalyan/Chitti_ver1,504382.43999999994
Pavankalyan/Chitti,11329.48
alronlam/bible-search,11767.0
orionweller/sentence-similarity-gradio-test,11734.08
